Element,K,L,M
H,0,0,
He,0,0,
Li,0,0,
Be,137.425,0,
B,5.345,0,
C,2.848,0,
N,1.701,0,
O,1.257,0,
F,1.192,0,
Ne,0.828,0,
Na,0.884,0,
Mg,0.941,0,
Al,1.002,0,
Si,1,0,
P,1.098,0,
S,1.040,0,
Cl,1.094,0,
Ar,1.188,0,
K,1.119,0,
Ca,1.199,32.168,
Sc,1.232,18.075,
Ti,1.248,14.403,
V,1.296,8.846,
Cr,1.313,5.064,
Mn,1.395,3.258,
Fe,1.438,2.055,
Co,1.550,1.852,
Ni,1.586,1.530,
Cu,1.771,11.471,
Zn,1.891,1.577,
Ga,2.105,1.965,
Ge,2.310,1.954,
As,2.541,2.072,
Se,2.891,2.123,
Br,3.208,2.109,
Kr,3.714,2.209,
Rb,4.274,2.223,
Sr,4.955,2.287,
Y,5.763,2.452,
Zr,6.815,2.490,
Nb,8.024,2.457,
Mo,9.690,2.515,
Tc,11.593,2.697,
Ru,14.139,2.676,
Rh,16.865,2.827,
Pd,20.588,2.963,
Ag,24.830,3.047,
Cd,30.464,3.206,
In,37.139,3.216,
Sn,45.312,3.630,
Sb,55.142,3.772,
Te,68.341,3.956,
I,80.185,3.951,
Xe,98.289,4.070,
Cs,117.467,4.114,
Ba,143.789,4.253,201.208
La,171.617,4.256,30.212
Ce,203.557,4.270,18.505
Pr,241.416,4.277,14.112
Nd,290.207,4.362,11.301
Pm,341.266,4.389,8.950
Sm,414.978,4.621,8.828
Eu,490.121,4.657,6.596
Gd,593.065,4.815,3.461
Tb,700.345,4.842,5.116
Dy,833.840,4.906,4.066
Ho,986.795,5.001,3.782
Er,1162.980,5.047,3.707
Tm,1366.914,5.118,2.691
Yb,1623.995,5.066,2.592
Lu,1906.508,5.384,1.877
Hf,2251.727,5.534,1.815
Ta,2636.124,5.633,1.755
W,3096.653,5.757,1.736
Re,3629.451,5.770,2.411
Os,4277.493,5.823,0.767
Ir,4977.686,5.832,1.341
Pt,5821.786,5.960,1.514
Au,6757.490,5.993,1.618
Hg,7917.446,6.161,2.065
Tl,9289.821,6.370,3.020
Pb,10816.296,6.589,3.791
Bi,12497.082,6.817,3.680
Po,14327.950,7.014,3.741
At,16506.560,7.245,3.730
Rn,19957.872,7.966,3.998
Fr,22936.113,8.301,3.859
Ra,26534.169,8.755,3.773
Ac,30417.842,9.174,3.672
Th,35506.115,9.829,3.549
Pa,40279.375,10.047,3.519
U,47293.716,10.047,3.489
Np,53674.982,10.354,3.418
Pu,62830.932,11.210,3.530
Am,71202.874,11.784,3.411
Cm,82378.887,13.646,3.336
Bk,93791.480,14.564,3.328
Cf,108311.969,15.735,3.370
Es,0,0,0
Fm,0,0,0
Md,0,0,0
No,0,0,0
Lr,0,0,0
Rf,0,0,0
Db,0,0,0
Sg,0,0,0
Bh,0,0,0
Hs,0,0,0
Mt,0,0,0
Ds,0,0,0
Rg,0,0,0
Cn,0,0,0
Uut,0,0,0
Fl,0,0,0
Uup,0,0,0
Lv,0,0,0
Uus,0,0,0
Uuo,0,0,0
