Element,K,L,M
H,0,0,
He,0,0,
Li,0,0,
Be,145.87,0,
B,6.803,0,
C,2.5,0,
N,1.421,0,
O,1.13,0,
F,1.093,0,
Ne,0.798,0,
Na,0.849,0,
Mg,0.919,0,
Al,0.99,0,
Si,1,0,
P,1.104,0,
S,1.062,0,
Cl,1.127,0,
Ar,1.237,0,
K,1.177,0,
Ca,1.274,32.168,
Sc,1.322,18.075,
Ti,1.353,14.403,
V,1.417,8.846,
Cr,1.45,5.064,
Mn,1.555,3.258,
Fe,1.618,2.055,
Co,1.76,1.852,
Ni,1.817,1.530,
Cu,2.048,11.471,
Zn,2.209,1.577,
Ga,2.487,1.965,
Ge,2.759,1.954,
As,3.071,2.072,
Se,3.544,2.123,
Br,3.976,2.109,
Kr,4.686,2.209,
Rb,5.439,2.223,
Sr,6.413,2.287,
Y,7.557,2.452,
Zr,9.071,2.490,
Nb,10.865,2.457,
Mo,13.284,2.515,
Tc,16.127,2.697,
Ru,19.824,2.676,
Rh,24.159,2.827,
Pd,29.995,2.963,
Ag,36.563,3.047,
Cd,45.862,3.206,
In,56.453,3.216,
Sn,70.332,3.630,
Sb,87.094,3.772,
Te,110.361,3.956,
I,132.764,3.951,
Xe,166.125,4.070,
Cs,203.995,4.114,
Ba,255.195,4.253,201.208
La,313.35,4.256,30.212
Ce,383.727,4.270,18.505
Pr,469.267,4.277,14.112
Nd,584.01,4.362,11.301
Pm,715.033,4.389,8.950
Sm,905.292,4.621,8.828
Eu,1120.269,4.657,6.596
Gd,1420.218,4.815,3.461
Tb,1770.101,4.842,5.116
Dy,2241.846,4.906,4.066
Ho,2832.479,5.001,3.782
Er,3599.247,5.047,3.707
Tm,4585.766,5.118,2.691
Yb,5990.113,5.066,2.592
Lu,7811.74,5.384,1.877
Hf,10470.84,5.534,1.815
Ta,14238.585,5.633,1.755
W,20034.418,5.757,1.736
Re,29393.993,5.770,2.411
Os,46961.408,5.823,0.767
Ir,86173.705,5.832,1.341
Pt,44064.536,5.960,1.514
Au,0,5.993,1.618
Hg,0,6.161,2.065
Tl,0,6.370,3.020
Pb,0,6.589,3.791
Bi,0,6.817,3.680
Po,0,7.014,3.741
At,0,7.245,3.730
Rn,0,7.966,3.998
Fr,0,8.301,3.859
Ra,0,8.755,3.773
Ac,0,9.174,3.672
Th,0,9.829,3.549
Pa,0,10.047,3.519
U,0,10.047,3.489
Np,0,10.354,3.418
Pu,0,11.210,3.530
Am,0,11.784,3.411
Cm,0,13.646,3.336
Bk,0,14.564,3.328
Cf,0,15.735,3.370
Es,0,0,0
Fm,0,0,0
Md,0,0,0
No,0,0,0
Lr,0,0,0
Rf,0,0,0
Db,0,0,0
Sg,0,0,0
Bh,0,0,0
Hs,0,0,0
Mt,0,0,0
Ds,0,0,0
Rg,0,0,0
Cn,0,0,0
Uut,0,0,0
Fl,0,0,0
Uup,0,0,0
Lv,0,0,0
Uus,0,0,0
Uuo,0,0,0
